"Data","T","EESWE_pct","par_EIOPA_pct","scarto_bps"
"2025-12-31",1,1.9372,2.176,-23.9
"2025-12-31",2,2.0166,2.2621,-24.5
"2025-12-31",3,2.1275,2.3796,-25.2
"2025-12-31",4,2.2271,2.4797,-25.3
"2025-12-31",5,2.3195,2.5692,-25
"2025-12-31",6,2.4026,2.6511,-24.9
"2025-12-31",7,2.4817,2.732,-25
"2025-12-31",8,2.5538,2.8,-24.6
"2025-12-31",10,2.687,2.9269,-24
"2025-12-31",12,2.799,3.0272,-22.8
"2025-12-31",15,2.9254,3.1428,-21.7
"2025-12-31",20,3.0287,3.2331,-20.4
"2026-01-30",1,1.9092,2.173,-26.4
"2026-01-30",2,1.965,2.2274,-26.2
"2026-01-30",3,2.0612,2.3234,-26.2
"2026-01-30",4,2.1635,2.4234,-26
"2026-01-30",5,2.2557,2.5091,-25.3
"2026-01-30",6,2.342,2.591,-24.9
"2026-01-30",7,2.4199,2.6683,-24.8
"2026-01-30",8,2.4988,2.7381,-23.9
"2026-01-30",10,2.633,2.8635,-23.1
"2026-01-30",12,2.749,2.969,-22
"2026-01-30",15,2.88,3.0837,-20.4
"2026-01-30",20,2.9929,3.1724,-18
"2026-02-27",1,1.8938,2.144,-25
"2026-02-27",2,1.8913,2.1519,-26.1
"2026-02-27",3,1.945,2.2078,-26.3
"2026-02-27",4,2.021,2.2758,-25.5
"2026-02-27",5,2.096,2.3432,-24.7
"2026-02-27",6,2.1724,2.4147,-24.2
"2026-02-27",7,2.2469,2.4837,-23.7
"2026-02-27",8,2.3191,2.5499,-23.1
"2026-02-27",10,2.451,2.6685,-21.8
"2026-02-27",12,2.565,2.7701,-20.5
"2026-02-27",15,2.6991,2.8853,-18.6
"2026-02-27",20,2.8166,2.977,-16
"2026-03-31",1,2.4226,2.707,-28.4
"2026-03-31",2,2.5064,2.7968,-29
"2026-03-31",3,2.5181,2.8439,-32.6
"2026-03-31",4,2.5423,2.8568,-31.5
"2026-03-31",5,2.5794,2.8799,-30
"2026-03-31",6,2.623,2.9121,-28.9
"2026-03-31",7,2.709,2.9484,-23.9
"2026-03-31",8,2.717,2.9871,-27
"2026-03-31",10,2.8464,3.0623,-21.6
"2026-03-31",12,2.9336,3.1321,-19.8
"2026-03-31",15,3.0301,3.2047,-17.5
"2026-03-31",20,3.072,3.2194,-14.7
"2026-04-30",1,2.4745,2.78,-30.5
"2026-04-30",2,2.5509,2.851,-30
"2026-04-30",3,2.558,2.8474,-28.9
"2026-04-30",4,2.584,2.8524,-26.8
"2026-04-30",5,2.6188,2.8809,-26.2
"2026-04-30",6,2.661,2.9138,-25.3
"2026-04-30",7,2.7082,2.951,-24.3
"2026-04-30",8,2.757,2.9932,-23.6
"2026-04-30",10,2.851,3.0778,-22.7
"2026-04-30",12,2.9379,3.1433,-20.5
"2026-04-30",15,3.037,3.2245,-18.7
"2026-04-30",20,3.0952,3.2536,-15.8
"2026-05-29",1,2.3932,2.696,-30.3
"2026-05-29",2,2.4304,2.7256,-29.5
"2026-05-29",3,2.4368,2.7238,-28.7
"2026-05-29",4,2.4694,2.7354,-26.6
"2026-05-29",5,2.501,2.7668,-26.6
"2026-05-29",6,2.545,2.8017,-25.7
"2026-05-29",7,2.597,2.8427,-24.6
"2026-05-29",8,2.6503,2.8869,-23.7
"2026-05-29",10,2.7515,2.9886,-23.7
"2026-05-29",12,2.846,3.0606,-21.5
"2026-05-29",15,2.958,3.1595,-20.2
"2026-05-29",20,3.044,3.2177,-17.4
